"station_removed","station_name","avg_extra_distance_km","max_extra_distance_km"
83733,"Morrey Nissan",0.00796446091306083,0.0242805632191848
357721,"Cloverdale Town Centre - 5829 176a St",0.00175127151240191,0.0235231285157097
313553,"SWTCH Energy",0.0010194577933242,0.0211826498132923
84371,"Mott Electric",0.00211825510234776,0.0188355358124609
397119,"East Van Medical Centre",0.00168590097312561,0.0179711547452462
391055,"TOL OPS STAFF 3 56A",0.00556205909469492,0.0173976800070668
232092,"COB PUBLIC ECC STREET 1",0.00229261973691154,0.0156930577678577
158018,"City of Vancouver",0.000714127059557132,0.0153826898878033
186392,"Wesgroup - 8506 200th St",0.00891930166012255,0.0137462984834019
330172,"Locale at Century City - Commercial",0.000476760517720559,0.0127843828081459
384845,"QuadReal - Broadway Tech Centre - East",0.000830531498338876,0.0114791958211281
377843,"Kingsway Honda 4",0.000541504059452958,0.0102369554293764
404546,"Scrap-It Society",0.0017880863043383,0.00985180210635917
213444,"EasyPark - Lot 167 - 2131 Manitoba St",0.000449604348590785,0.0084313426768822
155434,"SURREY MITS CT4K-GW1",0.000591354682213952,0.00767962329088732
252973,"Arbour Place-2 (public)",0.000515043157776929,0.00592476540248208
231921,"WATERSTONE 6470 EV1",0.00014445201470948,0.00572247397720639
84125,"Blackhills Wine Experience Centre",0.00489364658223349,0.00489364658223349
129992,"City of New Westminster - Curbside 537 Carnarvon St",0.00133906657294048,0.00405558662264775
232267,"EJTC POWERHOUSE GREEN CAMPUS",0.00151965400797608,0.00382010245637139
300959,"TERRA CREST PM SOMA",0.000491768463423604,0.00339144173242312
197935,"Surrey City Center",0.000385283967236221,0.00337513326959015
258598,"Swtch Energy",0.000927947690987853,0.00324988795520767
345245,"SWTCH Energy Inc.",0.000745274775040246,0.00270965421554683
328009,"P2 BRIGHTON 1",0.00107401110623753,0.00249686943072811
228889,"Elenore 4",0.000134722197652811,0.00240765431423642
333695,"Honda Surrey - MAX",0.000145479121589822,0.00209675526585306
374942,"INDIGO PARK CVA030-2",0.000238334768448216,0.00194847948290953
234658,"Vancouver",0.000124523468432697,0.00190615381480529
345759,"SWTCH Energy Inc.",0.000139299826675772,0.00178354641509213
357179,"Norgate Park",0.000151623720919815,0.00163945291013624
314095,"Wesgroup Properties - 200 E. Columbia Street",0.000554525045245134,0.00162068845934118
232162,"STAFF L2 OPS STAFF 2",0.00101987037514825,0.00150567085715738
303662,"CITYOFVANCOUVER COMMERCIAL DC1",8.17281681252203e-05,0.00132872674414284
118689,"CROSS ROADS STATION2-2019",1.92193776415823e-05,0.00126736640690797
258711,"Swtch Energy",0.000267259616992329,0.00117128007149586
312976,"COMMA FRASER STATION 1",0.000155422173760079,0.00103600673567598
405342,"TOL YORKSON 2",7.70068606135031e-05,0.000840157337035635
231917,"WATERSTONE 6470 STATION 1",2.06673304937475e-05,0.000754100061632926
84039,"Kamloops Visitor Centre",0.00066489103033382,0.00066489103033382
175410,"CITYOFVANCOUVER CITY HALL DCFC1",0.00016861696759836,0.000575941909002722
346036,"WESTCOASTNISSAN WC NISSAN LV3",0.000198786957685206,0.000571698672603816
303661,"CITYOFVANCOUVER COMMERCIAL DC2",6.7969619313005e-05,0.000533439585144151
312977,"COMMA FRASER STATION 2",6.80085786678205e-05,0.000374785808940942
154622,"CITYOFVANCOUVER CITY HALL DCFC2",7.35594568423448e-05,0.000294016778709192
182779,"IKEA 313 COQUITLAM CX1",3.72565159223482e-05,0.000194698132483609
232513,"EASYPARK LOT 17 VAHA3-L2",2.16618838821991e-05,0.000178432316442922
232517,"EASYPARK LOT 17 VAHA2-L2",7.47261813194881e-06,8.69685645648133e-05
232512,"EASYPARK LOT 17 VAHA4-L2",2.55019565473592e-05,8.49798196431948e-05
104540,"CROSS ROADS CROSSROADS1",7.67314442503057e-06,8.44444175818353e-05
213192,"CITYOFVANCOUVER 2221 MAIN DCFC2",8.70063495461148e-06,3.01677144962014e-05
213197,"CITYOFVANCOUVER 2221 MAIN DCFC1",3.38568821671987e-07,1.2634163358598e-06
83491,"Fulford Community Hall",0,0
83492,"Poets Cove Resort and Spa",0,0
83527,"City of Merritt - City Hall",0,0
84017,"Best Western Plus-Sunrise Inn",0,0
84048,"Pender Harbour Hotel",0,0
84049,"Best Western - Sicamous Inn",0,0
84054,"Best Western - Valemount Inn & Suites",0,0
84063,"Wickaninnish Inn",0,0
84065,"Black Rock Resort",0,0
83550,"North Shore Kia",0,0
84142,"Meadow Park Sports Centre",0,0
84511,"Regius Realty",0,0
420654,"Regius Realty",0,0
360862,"THE INDEPENDENT - SITE P1",0,0
397120,"THE INDEPENDENT - SITE P2",0,0
